,presynaptic_neuron,postsynaptic_neuron,actual_sign,source,target,pseudoinverse_predicted_sign,regularized_predicted_sign,heavily_regularized_sign
0,ADLL,RIAL,1.0,6,182,-0.29935623884105167,-0.004286242290108895,-2.5799979601006622e-08
1,AIBL,RIBR,1.0,12,185,0.10018149057183814,-0.02461392067538607,-3.319997375013258e-08
2,AIBR,RIAL,1.0,13,182,-0.5599190704828184,0.08354261851860804,1.2329990251178783e-07
3,AIBR,RIBL,1.0,13,184,0.0740120294153405,-0.027003094284962677,-4.129996734579746e-08
4,AIML,ALML,1.0,14,23,-0.15576216818008248,0.019756565058406797,4.539996410409697e-08
5,AIMR,AVAR,1.0,15,52,-0.18249648090018755,0.23225638720942002,4.2999966001677776e-07
6,AIMR,RMDR,1.0,15,203,-0.14001097320509198,-0.03258455859998657,-3.7599970271234484e-08
7,AINL,SAAVL,-1.0,16,218,-0.12741272320405098,-0.016725362217987927,-2.3599981340455698e-08
8,AIZL,RIAL,1.0,20,182,-0.05292069895084529,0.20301471659856937,3.0169976145828335e-07
9,AIZR,RIAR,1.0,21,183,-0.08051391815764469,0.1619487188090042,2.3159981688345476e-07
10,ALNL,SAAVL,-1.0,25,218,0.01742222084775498,-0.009087874593725117,-1.2599990037700926e-08
11,ALNR,AVAL,1.0,26,51,0.0888387100736095,-0.0010289589997322694,8.999992884072087e-10
12,ALNR,SAAVR,-1.0,26,219,0.053645699269441335,-0.0004212594371795526,-2.9999976280240314e-10
13,AQR,RIAL,1.0,27,182,-0.44004413937650444,-0.08504185804784313,-1.607998728620879e-07
14,AQR,RIAR,1.0,27,183,-0.3288246153407219,-0.13841985147431646,-2.8649977347629457e-07
15,ASEL,RIAR,1.0,39,183,0.15567205886680924,0.08400363302308562,9.619992393863728e-08
16,ASHL,RIAL,1.0,43,182,-0.2668465710810317,-0.028615034828887356,-5.4699956750971416e-08
17,ASHR,RIAR,1.0,44,183,-0.17870423503847738,-0.037674589987853384,-9.789992259451742e-08
18,AUAL,RIAL,1.0,49,182,-0.34318093540764116,0.095963562618023,1.2889989808409904e-07
19,AUAL,RIBL,1.0,49,184,0.14701971718929266,-0.03472737170090949,-4.6499963234372466e-08
20,AUAR,RIAR,1.0,50,183,-0.10761620545786454,0.08062420130106254,1.1079991239502075e-07
21,AUAR,RIBR,1.0,50,185,0.000462137148384993,-0.016543616272877808,-2.099998339616821e-08
22,AVAL,AS02,1.0,51,29,-0.09567674961038364,0.03202098094346493,5.2899958174157e-08
23,AVAL,AS04,1.0,51,31,-0.03796591473968924,0.015505615736273789,2.289998189391676e-08
24,AVAL,AS05,1.0,51,32,-0.056486862057320494,0.01902225985515669,2.8299977624359964e-08
25,AVAL,AS10,1.0,51,37,-0.10247507251943314,0.02482477159648802,4.2399966476072954e-08
26,AVAL,AS11,1.0,51,38,0.0065491652487541414,0.02806707097467173,4.619996347157006e-08
27,AVAL,AVAR,1.0,51,52,-0.6442150641172267,0.0853114969546079,1.8029985744424396e-07
28,AVAL,AVBL,-1.0,51,53,-0.376333937579608,0.18964991252634023,3.9309968919208137e-07
29,AVAL,DA01,1.0,51,84,-0.13883280204493795,0.03851142177563369,6.14999513744926e-08
30,AVAL,DA02,1.0,51,85,-0.0888747987399135,0.08467543322777904,1.4009988922872217e-07
31,AVAL,DA03,1.0,51,86,-0.10598165197210933,0.039907664308553185,6.309995010943874e-08
32,AVAL,DA04,1.0,51,87,-0.028810252897932615,0.05178191022430454,8.569993224055308e-08
33,AVAL,DA05,1.0,51,88,-0.1652365299150859,0.07942076144224014,1.3319989468426682e-07
34,AVAL,DA06,1.0,51,89,-0.0962984104522121,0.028563366601896553,4.5399964104096946e-08
35,AVAL,DA07,1.0,51,90,0.09079940056562896,0.01777299769659861,3.1999974698922944e-08
36,AVAL,DA08,1.0,51,91,0.05572138521091373,0.11317283135783308,1.840998544397412e-07
37,AVAL,DA09,1.0,51,92,0.08560692632608126,0.017159223658933763,2.8599977387162412e-08
38,AVAL,DB07,1.0,51,99,0.059793741089949455,0.08565833205009127,1.4649988416850654e-07
39,AVAL,PVCL,-1.0,51,167,-0.5195009451709844,0.2049638854083169,3.857996949638896e-07
40,AVAL,PVCR,-1.0,51,168,-0.4913954838928674,0.17565334414758657,3.375997330736368e-07
41,AVAL,VA01,-1.0,51,253,-0.15436578833416487,0.02762872024452962,4.259996631794123e-08
42,AVAL,VA02,-1.0,51,254,-0.13441707044214968,0.055774381748530256,8.999992884072082e-08
43,AVAL,VA03,-1.0,51,255,-0.182675870930372,0.04538172539044659,7.209994299351084e-08
44,AVAL,VA04,-1.0,51,256,-0.08385359184773793,0.020882131406775573,3.02999760430427e-08
45,AVAL,VA06,-1.0,51,258,0.17245670460165072,0.06160404388177946,1.022999191156193e-07
46,AVAL,VA10,-1.0,51,262,-0.024701063169589456,0.009773512574183862,1.5799987507593224e-08
47,AVAL,VA11,-1.0,51,263,0.09913246246801397,0.02892808373325658,4.8299961811186883e-08
48,AVAL,VA12,-1.0,51,264,-0.019150360653558584,0.018977180554915495,2.8599977387162343e-08
49,AVAR,AS01,1.0,52,28,-0.22282858528843713,0.03508478009368473,5.6799955090588236e-08
50,AVAR,AS02,1.0,52,29,-0.08310047036650915,0.03393246759370336,5.5099956434707946e-08
51,AVAR,AS04,1.0,52,31,-0.026809136415179506,0.015964006563857856,2.3499981419521564e-08
52,AVAR,AS05,1.0,52,32,-0.03398090346915757,0.017301345431805854,2.609997936380901e-08
53,AVAR,AS06,1.0,52,33,0.002807405894630888,0.0008580970040794315,1.0999991302754776e-09
54,AVAR,AS11,1.0,52,38,0.021422827152262684,0.027928546415731902,4.599996362970178e-08
55,AVAR,AVAL,1.0,52,51,-0.3189414900257176,0.06301027532744376,1.4389988622421912e-07
56,AVAR,AVBL,-1.0,52,53,-0.2588900536733023,0.1675543469890633,3.6419971204211687e-07
57,AVAR,AVBR,-1.0,52,54,-0.19827943925998673,0.16388262532003262,3.545997196324402e-07
58,AVAR,DA01,1.0,52,84,-0.08876124982392213,0.038873680558810575,6.179995113729502e-08
59,AVAR,DA02,1.0,52,85,-0.0011352728197599193,0.08441956596803449,1.3949988970311738e-07
60,AVAR,DA03,1.0,52,86,-0.04721993889306253,0.04009593144471527,6.319995003037291e-08
61,AVAR,DA04,1.0,52,87,0.03432844416067022,0.054925021293516715,8.949992923605021e-08
62,AVAR,DA05,1.0,52,88,-0.04351691215484746,0.08127436474677924,1.3519989310294958e-07
63,AVAR,DA06,1.0,52,89,-0.03938800464979408,0.02617065022184992,4.2299966555138774e-08
64,AVAR,DA07,1.0,52,90,0.1215016039200368,0.01987074589928387,3.44999727222763e-08
65,AVAR,DA08,1.0,52,91,0.051003362193165695,0.1053632634076024,1.735998627416572e-07
66,AVAR,DA09,1.0,52,92,0.10602642538229828,0.016803677143256326,2.8099977782491743e-08
67,AVAR,DB02,1.0,52,94,0.028910697673502454,0.06531801236344835,1.1289991073463753e-07
68,AVAR,DB03,1.0,52,95,-0.03653220375813039,0.09028839532548716,1.5359987855483025e-07
69,AVAR,PVCL,-1.0,52,167,-0.008374949860868751,0.19218296162204282,3.6719970967014087e-07
70,AVAR,PVCR,-1.0,52,168,-0.11594434737962096,0.1624787313949495,3.1819974841241517e-07
71,AVAR,SAAVR,-1.0,52,219,0.20846073784119631,-0.02444963660042648,-2.6199979284743155e-08
72,AVAR,SMDVR,-1.0,52,240,0.056092406992912285,-0.06319903444322901,-8.899992963137959e-08
73,AVAR,VA02,-1.0,52,254,-0.08722156864772752,0.051453627392399795,8.449993318934345e-08
74,AVAR,VA03,-1.0,52,255,-0.12659691451299362,0.044533065126110896,7.089994394230127e-08
75,AVAR,VA04,-1.0,52,256,-0.08101243058847496,0.020519594466669216,2.989997635930616e-08
76,AVAR,VA06,-1.0,52,258,0.14780058491791173,0.05420296093085043,9.299992646874481e-08
77,AVAR,VA10,-1.0,52,262,-0.0025994613426608693,0.009646333045370502,1.5599987665724953e-08
78,AVAR,VA11,-1.0,52,263,0.08514400229380854,0.028281557491900592,4.7499962443713805e-08
79,AVBL,AS04,1.0,53,31,-0.04596620678768019,0.01587322120291483,2.3199981656719166e-08
80,AVBL,AS05,1.0,53,32,-0.000547338185141414,0.020407016125210314,2.949997667556958e-08
81,AVBL,AS10,1.0,53,37,0.07363591419323397,0.02276510893814738,3.6899970824695567e-08
82,AVBL,AVAL,1.0,53,51,-0.15114569756637297,0.002710015741241056,2.059998371243144e-08
83,AVBL,AVAR,1.0,53,52,-0.13194225163673515,0.004452053805565614,2.309998173578483e-08
84,AVBL,AVBR,-1.0,53,54,-0.04214722257992909,0.11879725945406,2.3559981372082022e-07
85,AVBL,DA05,1.0,53,88,0.019480151662908816,0.0735832488171951,1.1909990583255385e-07
86,AVBL,DA07,1.0,53,90,0.054263219151965775,0.015218368032129077,2.6699978889413828e-08
87,AVBL,DVA,-1.0,53,106,-0.13756615275139206,0.03574994103095379,6.359994971410927e-08
88,AVBL,PVCR,-1.0,53,168,-0.07220726567129562,0.1311961988202416,2.3779981198137118e-07
89,AVBL,VA02,-1.0,53,254,0.0050365081049432445,0.045755975067390556,7.399994149125931e-08
90,AVBL,VA10,-1.0,53,262,0.026259575510553225,0.008688288529139717,1.3899989009844672e-08
91,AVBL,VA11,-1.0,53,263,0.11924781437727794,0.03162001480952179,4.7999962048384475e-08
92,AVBL,VB02,1.0,53,266,-0.09469651731090527,0.0017364191419857108,-1.4999988140119875e-09
93,AVBL,VC03,-1.0,53,278,-0.08677796954557745,0.027224129847310284,4.0099968294587827e-08
94,AVBR,AS01,1.0,54,28,0.33185494238029073,0.025832566942229736,3.609997145722247e-08
95,AVBR,AS03,1.0,54,30,0.32991736571886376,0.01790119306893868,2.3199981656719163e-08
96,AVBR,AS04,1.0,54,31,0.06442977087713946,0.01706824139375542,2.219998244737782e-08
97,AVBR,AS05,1.0,54,32,0.030887111474312477,0.012642229358930963,1.8499985372814837e-08
98,AVBR,AS10,1.0,54,37,-0.07396969954459076,0.014518780334505342,2.1999982605509552e-08
99,AVBR,AVAL,1.0,54,51,0.1904470428404101,-0.023025310308354717,-2.7399978335952868e-08
100,AVBR,AVAR,1.0,54,52,0.06030873812501475,-0.024083320750626948,-3.049997588491103e-08
101,AVBR,AVBL,-1.0,54,53,-0.037150481919549755,0.05541526444156172,1.0099992014347551e-07
102,AVBR,DA03,1.0,54,86,0.469033729540353,0.03772916183359739,5.06999599136061e-08
103,AVBR,DA07,1.0,54,90,0.07482271273237635,0.009354023334757508,1.5399987823856668e-08
104,AVBR,HSNR,-1.0,54,112,-0.08068442086028563,0.03390285504040792,5.049996007173781e-08
105,AVBR,VA04,-1.0,54,256,0.43115167110893615,0.029122711507762213,3.659997106189316e-08
106,AVBR,VA07,-1.0,54,259,-0.0060112818415535285,0.0008479311076234875,1.199999051209612e-09
107,AVDL,AVAL,1.0,55,51,0.1721297615589642,0.03471800411814832,1.0319991840402655e-07
108,AVDL,AVAR,1.0,55,52,0.2046118676722575,0.044613740626794456,1.217999036977756e-07
109,AVDR,AVAL,1.0,56,51,-0.11323922126486484,0.1638378069691788,3.600997152838182e-07
110,AVDR,AVAR,1.0,56,52,-0.03268684327897821,0.1607906524958996,3.646997116467886e-07
111,AVEL,AVAL,1.0,57,51,0.17943112100332279,0.14567831622956354,3.16899749440272e-07
112,AVEL,AVAR,1.0,57,52,0.09852852876322017,0.15397600352692975,3.424997291994108e-07
113,AVER,AVAL,1.0,58,51,-0.03371899844288422,-0.041898431631137115,-4.659996315530645e-08
114,AVER,AVAR,1.0,58,52,-0.16218712068546928,-0.03869420714925015,-4.249996639700696e-08
115,AVFL,VB01,-1.0,59,265,0.34606716405203897,-0.09003947885955285,-1.7529986139753722e-07
116,AVFL,VB02,-1.0,59,266,-0.026584023386520342,-0.03634045827167783,-5.089995975547435e-08
117,AVFR,VA02,-1.0,60,254,-0.048499032637738984,-0.05554544068677563,-9.609992401770293e-08
118,AVG,AVAL,1.0,61,51,-0.22412790177751585,0.2917916478629057,6.438994908948916e-07
119,AVG,AVAR,1.0,61,52,-0.07109161988807529,0.3004183436988796,6.793994628265095e-07
120,AWCL,RIAL,1.0,72,182,-0.11351072035133197,0.09052986235859233,1.1749990709760784e-07
121,AWCR,RIAL,1.0,73,182,-0.18197717628833077,0.088209815489775,1.1009991294848191e-07
122,BAGL,RIAR,1.0,74,183,-0.18209652574425164,0.1413876447483103,2.0429983846843642e-07
123,BAGL,RIBR,1.0,74,185,-0.17297111726940564,-0.02730962378140377,-3.5299972089749404e-08
124,BAGR,RIAL,1.0,75,182,-0.14881726823052774,0.09120592379448286,1.341998938936082e-07
125,BAGR,RIBL,1.0,75,184,0.1489895766873824,-0.026510098799352178,-3.769997019216864e-08
126,BAGR,RIBR,1.0,75,185,-0.15298889187559292,-0.019903498907955414,-2.509998015446771e-08
