	Gene name	Number of neurons expressing
0	gab-1	95
1	lgc-37	93
2	lgc-38	88
3	glr-5	75
4	glr-4	67
5	unc-63	57
6	acr-14	54
7	acr-2	50
8	lgc-35	46
9	glr-1	41
10	acr-15	40
11	lgc-47	38
12	ggr-2	34
13	glr-2	31
14	lgc-36	26
15	glr-8	23
16	acc-1	22
17	acr-12	22
18	deg-3	21
19	acr-16	22
20	acr-5	18
21	avr-15	16
22	des-2	16
23	ggr-1	16
24	nmr-1	12
25	acc-2	11
26	nmr-2	11
27	avr-14	10
28	exp-1	9
29	glr-7	9
30	lev-8	8
31	acr-23	6
32	glc-3	4
33	unc-29	4
34	acr-11	2
35	acr-18	2
36	acr-3	2
37	acr-6	2
38	glr-3	2
39	glr-6	2
40	acr-20	1
41	eat-2	0
42	acc-3	0
43	acr-1	0
44	acr-10	0
45	acr-13	0
46	acr-17	0
47	acr-19	0
48	acr-21	0
49	acr-25	0
50	acr-4	0
51	acr-7	0
52	acr-8	0
53	acr-9	0
54	ggr-3	9
55	glc-1	0
56	glc-2	0
57	glc-4	0
58	lgc-48	0
59	lgc-49	0
60	unc-38	0
61	unc-49	0
